====================
Fold 0
====================
Fold 6
X_of_N_17 (X-of-N): 18.4117042978222
X_of_N_9 (X-of-N): 15.264751810651438
X_of_N_32 (X-of-N): 6.944660532379286
X_of_N_35 (X-of-N): 4.990240215483222
X_of_N_8 (X-of-N): 3.6610693150777296
X_of_N_33 (X-of-N): 2.763522899105789
X_of_N_14 (X-of-N): 2.299350190770164
X_of_N_26 (X-of-N): 1.8662630398967957
WikiPathways.23....Ciliary.landscape (X-of-N): 1.7133741827487812
X_of_N_22 (X-of-N): 1.508633670222805
X_of_N_36 (X-of-N): 1.4983389592176832
X_of_N_1 (X-of-N): 1.3726159310353212
KEGG.180....Ubiquinone.and.other.terpenoid.quinone.biosynthesis (X-of-N): 1.0373527190428795
X_of_N_28 (X-of-N): 1.0104425815897908
X_of_N_15 (X-of-N): 0.9488613435608949
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.8816072456050172
X_of_N_16 (X-of-N): 0.8645066222676783
REACTOME.73....Host.Interactions.of.HIV.factors (X-of-N): 0.7241709721290118
X_of_N_13 (X-of-N): 0.713020182987802
REACTOME.20....Cell.Cycle (X-of-N): 0.5832548769666867
WikiPathways.44....Chromosomal.and.microsatellite.instability.in.colorectal.cancer (X-of-N): 0.557753452575726
WikiPathways.89....Integrated.Cancer (X-of-N): 0.5157035452172528
X_of_N_6 (X-of-N): 0.5029392254369772
REACTOME.2....Immune.System (X-of-N): 0.4973298552992794
IPAVS.17....perk (X-of-N): 0.49670650418927076
REACTOME.52....Deubiquitination (X-of-N): 0.46896828119130984
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.4031305458096252
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.3873082887089697
WikiPathways.105....DNA.IR.Double.Strand.Breaks..DSBs..and.cellular.response.via.ATM (X-of-N): 0.3750690489960899
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.3636914572902143
WikiPathways.104....DNA.Damage.Response (X-of-N): 0.3575626667705608
X_of_N_12 (X-of-N): 0.35671357955332234
NetPath.15....Gastrin (X-of-N): 0.33559123540215047
SMPDB.147....Caffeine.Metabolism (X-of-N): 0.32817502144438554
X_of_N_20 (X-of-N): 0.3211325792024054
PharmGKB.22....Caffeine_Pathway_Pharmacokinetics (X-of-N): 0.3042288081614924
X_of_N_5 (X-of-N): 0.2956972737239004
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.2930028676929448
WikiPathways.22....Pancreatic.adenocarcinoma (X-of-N): 0.2896264060455016
REACTOME.65....Ub.specific.processing.proteases (X-of-N): 0.2772936733304867
REACTOME.4....Gene.expression..Transcription. (X-of-N): 0.27138211438810217
KEGG.120....Cardiac.muscle.contraction (X-of-N): 0.2530108776292755
REACTOME.310....Triglyceride.metabolism (X-of-N): 0.25190751605151857
X_of_N_30 (X-of-N): 0.25151831076369374
WikiPathways.16....Focal.Adhesion (X-of-N): 0.24410044449504226
X_of_N_24 (X-of-N): 0.2380266641289703
KEGG.63....RNA.transport (X-of-N): 0.23427384502874515
KEGG.71....Pancreatic.cancer (X-of-N): 0.22770528363900586
Panther_Pathway....CCKR_signaling_map (X-of-N): 0.22748291865279385
BioCarta.10....mcalpain.and.friends.in.cell.motility (X-of-N): 0.20701894793185563
====================
Fold 7
X_of_N_36 (X-of-N): 29.48794167827723
X_of_N_33 (X-of-N): 11.449595719491471
X_of_N_38 (X-of-N): 9.927617521367079
X_of_N_23 (X-of-N): 5.5718762730867475
X_of_N_27 (X-of-N): 3.3552603917652997
X_of_N_1 (X-of-N): 2.203285642864613
REACTOME....Metabolism (X-of-N): 2.0487584304719006
OntoCancro....Expanded.Apoptosis (X-of-N): 1.3216243843462028
X_of_N_26 (X-of-N): 1.3139528698056255
X_of_N_2 (X-of-N): 0.9526720006171957
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.6145058208340158
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.5825453216316281
X_of_N_7 (X-of-N): 0.562657396431937
REACTOME.27....rRNA.processing (X-of-N): 0.5051384198522357
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.49385449745476634
X_of_N_28 (X-of-N): 0.479685351676981
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.47042784837137913
KEGG.46....Colorectal.cancer (X-of-N): 0.45153227537371227
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.4401214305971744
X_of_N_16 (X-of-N): 0.4395237667498809
WikiPathways.22....Pancreatic.adenocarcinoma (X-of-N): 0.43780794558935093
X_of_N_11 (X-of-N): 0.4355799656574366
ACSN2.22....ER_STRESS (X-of-N): 0.4216086811676884
X_of_N_12 (X-of-N): 0.42092425030796976
REACTOME.235....Ion.homeostasis (X-of-N): 0.4052946818899308
REACTOME.71....Fatty.acid.metabolism (X-of-N): 0.39930529331738
WikiPathways.30....Amino.Acid.metabolism (X-of-N): 0.38724900328211537
WikiPathways.6....Cytoplasmic.Ribosomal.Proteins (X-of-N): 0.3808412430784957
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.3548739526948645
INOH.10....Tryptophan.degradation (X-of-N): 0.3494786685280716
X_of_N_35 (X-of-N): 0.3436356974864871
WikiPathways.92....Synaptic.Vesicle (X-of-N): 0.33508820123021454
X_of_N_3 (X-of-N): 0.3305681965411686
X_of_N_32 (X-of-N): 0.32444738063207923
systems.biology.org....Macrophage_Map_Update_ver2_re (X-of-N): 0.3173325225022958
X_of_N_17 (X-of-N): 0.31447839140673256
X_of_N_10 (X-of-N): 0.29867167660124083
EHMN.5....Arachidonic.acid.metabolism (X-of-N): 0.28688060099736684
KEGG.71....Pancreatic.cancer (X-of-N): 0.265860262859511
X_of_N_30 (X-of-N): 0.2626856040657571
X_of_N_8 (X-of-N): 0.26223495903693905
X_of_N_34 (X-of-N): 0.25823523721881686
X_of_N_31 (X-of-N): 0.2499600467535171
EHMN.2....TCA.cycle (X-of-N): 0.23821812372590126
WikiPathways.41....Oncostatin.M.Signaling (X-of-N): 0.2292954193839861
REACTOME.13....Cytokine.Signaling.in.Immune.system (X-of-N): 0.21505409066847264
X_of_N_22 (X-of-N): 0.21360681184116606
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.2117600974744534
X_of_N_6 (X-of-N): 0.2104354020293347
X_of_N_29 (X-of-N): 0.20622276147654495
====================
Fold 8
X_of_N_28 (X-of-N): 22.15653607833019
X_of_N_19 (X-of-N): 15.583936202066399
REACTOME....Metabolism (X-of-N): 5.0998727007973175
X_of_N_13 (X-of-N): 4.162781085841529
X_of_N_24 (X-of-N): 3.9914545781695163
X_of_N_10 (X-of-N): 1.7149446466551599
X_of_N_36 (X-of-N): 1.593070626479955
X_of_N_32 (X-of-N): 1.493757316037227
WikiPathways.23....Ciliary.landscape (X-of-N): 1.4793978048016794
X_of_N_31 (X-of-N): 1.4455741185691657
X_of_N_4 (X-of-N): 1.3138868819296599
X_of_N_11 (X-of-N): 1.1747510212629109
X_of_N_30 (X-of-N): 1.145597548993944
X_of_N_2 (X-of-N): 1.0132686091718717
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.9653663367078379
ACSN2.22....ER_STRESS (X-of-N): 0.8657336918395742
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.8651766310033193
X_of_N_3 (X-of-N): 0.8045737789749536
X_of_N_1 (X-of-N): 0.7631266248931798
X_of_N_27 (X-of-N): 0.7502774069746072
X_of_N_33 (X-of-N): 0.7314885112540215
X_of_N_18 (X-of-N): 0.6938687564005047
X_of_N_14 (X-of-N): 0.6811218053289619
X_of_N_8 (X-of-N): 0.6789362713412828
X_of_N_5 (X-of-N): 0.5548540116421341
ACSN2.9....CASPASES (X-of-N): 0.48721128892532645
KEGG.15....Proteoglycans.in.cancer (X-of-N): 0.4700097642506309
WikiPathways.3....MAPK.Signaling (X-of-N): 0.4553910459942103
REACTOME.1....Metabolism.of.proteins (X-of-N): 0.4407538746353387
REACTOME.54....MAPK1.MAPK3.signaling (X-of-N): 0.4165500357154719
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.4139568273340933
X_of_N_12 (X-of-N): 0.39590774524705646
X_of_N_15 (X-of-N): 0.3683296217697778
X_of_N_34 (X-of-N): 0.3563036509831283
X_of_N_20 (X-of-N): 0.34256621972773854
X_of_N_25 (X-of-N): 0.3423411188926115
REACTOME.121....Regulation.of.HSF1.mediated.heat.shock.response (X-of-N): 0.33453157911607334
ACSN2.2....EMT_REGULATORS (X-of-N): 0.32160731107039864
X_of_N_29 (X-of-N): 0.3076862183151477
X_of_N_35 (X-of-N): 0.30163469919613894
Panther_Pathway.47....TCA_cycle (X-of-N): 0.2802030452298204
SMPDB.113....Nicotine.Action.Pathway (X-of-N): 0.27469068956631093
REACTOME.250....Endosomal.Sorting.Complex.Required.For.Transport..ESCRT. (X-of-N): 0.2724676131334502
Panther_Pathway.31....Insulin_IGF_pathway.protein_kinase_B_signaling_cascade (X-of-N): 0.24116541977529085
X_of_N_7 (X-of-N): 0.23932533520249302
ACSN2.31....DEPENDANCE_RECEPTORS (X-of-N): 0.2339450355494986
X_of_N_26 (X-of-N): 0.22714750688305413
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.22596268182160129
BioCarta.69....er.associated.degradation..erad. (X-of-N): 0.2189346747353973
KEGG.71....Pancreatic.cancer (X-of-N): 0.2103395306789266
====================
Fold 9
X_of_N_28 (X-of-N): 23.111227146097917
X_of_N_3 (X-of-N): 11.224342909161164
X_of_N_31 (X-of-N): 7.044628874244364
X_of_N_25 (X-of-N): 3.4443483852277623
X_of_N_32 (X-of-N): 2.937820155868412
X_of_N_23 (X-of-N): 2.829640026589545
REACTOME....Metabolism (X-of-N): 2.356965791488955
X_of_N_19 (X-of-N): 2.2343241294934315
X_of_N_7 (X-of-N): 1.430963476139357
X_of_N_8 (X-of-N): 1.2563015171241767
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 1.0567967022786273
X_of_N_21 (X-of-N): 1.0302178705493041
WikiPathways.23....Ciliary.landscape (X-of-N): 0.9821920091291041
X_of_N_22 (X-of-N): 0.6744328721283483
ACSN2.22....ER_STRESS (X-of-N): 0.6440263801855638
X_of_N_29 (X-of-N): 0.6265354431236672
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.6124604809576192
X_of_N_34 (X-of-N): 0.5748602720816388
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.547254546979447
X_of_N_6 (X-of-N): 0.5469925553387027
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.5065928030185157
X_of_N_17 (X-of-N): 0.5032143101413007
WikiPathways.68....Lipid.Metabolism (X-of-N): 0.4960795614018229
X_of_N_24 (X-of-N): 0.4873935238914543
X_of_N_14 (X-of-N): 0.4604047117029408
WikiPathways.3....MAPK.Signaling (X-of-N): 0.43187512985583487
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.42493996821624946
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.4152631070000469
ACSN2.1....WNT_NON_CANONICAL (X-of-N): 0.39744912073521815
REACTOME.7....Innate.Immune.System (X-of-N): 0.37445634421606144
WikiPathways.30....Amino.Acid.metabolism (X-of-N): 0.3648237420572018
REACTOME.235....Ion.homeostasis (X-of-N): 0.3538404026425865
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.33259323992981726
INOH.10....Tryptophan.degradation (X-of-N): 0.3240198816963249
X_of_N_16 (X-of-N): 0.3201415861683362
REACTOME.36....Influenza.Viral.RNA.Transcription.and.Replication (X-of-N): 0.3039076449073356
X_of_N_11 (X-of-N): 0.30388582788019775
X_of_N_9 (X-of-N): 0.2907258502861287
REACTOME.30....L13a.mediated.translational.silencing.of.Ceruloplasmin.expression (X-of-N): 0.2901618915592259
IPAVS.3....GP130_JAK_STAT (X-of-N): 0.28642884358835097
REACTOME.5....RNA.Polymerase.II.Transcription (X-of-N): 0.2828312660315644
X_of_N_4 (X-of-N): 0.27662127900129363
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.27399820195117386
systems.biology.org.4....adipocyte_v2.1 (X-of-N): 0.26831730475245325
X_of_N_13 (X-of-N): 0.2644235779406724
REACTOME.52....Deubiquitination (X-of-N): 0.2603905607950596
REACTOME.12....Metabolism.of.lipids (X-of-N): 0.24947017661984944
REACTOME.102....Respiratory.electron.transport (X-of-N): 0.2453430245456643
KEGG.70....Hepatitis.B (X-of-N): 0.24463574297248014
X_of_N_39 (X-of-N): 0.24217345003698562
====================
Fold 0
X_of_N_10 (X-of-N): 27.87434914611265
X_of_N_28 (X-of-N): 10.771123993427377
X_of_N_19 (X-of-N): 8.248417198908014
X_of_N_24 (X-of-N): 3.3545111363769005
X_of_N_40 (X-of-N): 2.3438595703761624
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 2.1416574269782163
X_of_N_5 (X-of-N): 1.8446021068296554
REACTOME.1....Metabolism.of.proteins (X-of-N): 1.6209597918423477
X_of_N_12 (X-of-N): 1.5504973057620566
REACTOME....Metabolism (X-of-N): 1.1569102849114428
X_of_N_20 (X-of-N): 1.1356657560305403
X_of_N_36 (X-of-N): 1.1035912519368385
X_of_N_25 (X-of-N): 0.9433846522841383
X_of_N_2 (X-of-N): 0.8831397981651742
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.841045932451287
X_of_N_3 (X-of-N): 0.7734100868874024
X_of_N_34 (X-of-N): 0.758632820567857
X_of_N_23 (X-of-N): 0.7504397434984036
OntoCancro.1....Apoptosis (X-of-N): 0.720294630735909
X_of_N_32 (X-of-N): 0.6940643183856787
X_of_N_14 (X-of-N): 0.6911702063953792
systems.biology.org....Macrophage_Map_Update_ver2_re (X-of-N): 0.6568105356985489
X_of_N_30 (X-of-N): 0.5746341622510295
X_of_N_38 (X-of-N): 0.5488110685914481
Panther_Pathway.47....TCA_cycle (X-of-N): 0.54812652810917
OntoCancro....Expanded.Apoptosis (X-of-N): 0.542682826561401
X_of_N_35 (X-of-N): 0.5423043962961158
X_of_N_22 (X-of-N): 0.520015155712076
X_of_N_39 (X-of-N): 0.4849434749267291
X_of_N_15 (X-of-N): 0.47397087395953463
REACTOME.11....Infectious.disease (X-of-N): 0.4670086536170457
X_of_N_4 (X-of-N): 0.4393194619864433
X_of_N_16 (X-of-N): 0.4310192610980679
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.41700119442210065
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.40860918684634084
ACSN2.22....ER_STRESS (X-of-N): 0.391573290572959
X_of_N_27 (X-of-N): 0.38763045595104795
X_of_N_9 (X-of-N): 0.37588614183090757
X_of_N_7 (X-of-N): 0.3658288078496454
X_of_N_29 (X-of-N): 0.355861894250359
REACTOME.22....Neutrophil.degranulation (X-of-N): 0.35053101986473917
X_of_N_18 (X-of-N): 0.3471876384356072
REACTOME.52....Deubiquitination (X-of-N): 0.33012189073059606
REACTOME.31....Major.pathway.of.rRNA.processing.in.the.nucleolus.and.cytosol (X-of-N): 0.32734704559522076
X_of_N_13 (X-of-N): 0.31599063671189564
REACTOME.235....Ion.homeostasis (X-of-N): 0.27320644518889803
X_of_N_1 (X-of-N): 0.2560314129027203
X_of_N_26 (X-of-N): 0.2358438285828891
WikiPathways.50....Endometrial.cancer (X-of-N): 0.23360115283064106
REACTOME.7....Innate.Immune.System (X-of-N): 0.22851836718973628
====================
Fold 1
X_of_N_33 (X-of-N): 22.357068076443568
X_of_N_6 (X-of-N): 8.645070965862583
X_of_N_5 (X-of-N): 8.20795183236699
X_of_N_7 (X-of-N): 7.710430598719085
X_of_N_23 (X-of-N): 3.8692221154836406
X_of_N_36 (X-of-N): 3.6585401395985504
X_of_N_20 (X-of-N): 2.8241881834030176
X_of_N_17 (X-of-N): 1.750635463251039
X_of_N_27 (X-of-N): 1.4080708534018482
X_of_N_26 (X-of-N): 0.9820833618689743
X_of_N_35 (X-of-N): 0.827344064034668
X_of_N_21 (X-of-N): 0.795746461750144
X_of_N_12 (X-of-N): 0.7716307311131628
X_of_N_37 (X-of-N): 0.76548328144557
X_of_N_4 (X-of-N): 0.7232087366843049
X_of_N_29 (X-of-N): 0.694865923288281
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.6705402925132125
REACTOME.1....Metabolism.of.proteins (X-of-N): 0.6623040975959494
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.6490479594968492
X_of_N_30 (X-of-N): 0.6215930193328011
ACSN2.22....ER_STRESS (X-of-N): 0.6025745454818024
X_of_N_8 (X-of-N): 0.5965583934907404
X_of_N_2 (X-of-N): 0.5907442202448149
REACTOME.235....Ion.homeostasis (X-of-N): 0.548305420276129
X_of_N_18 (X-of-N): 0.5476249094301151
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 0.5240534388187201
X_of_N_11 (X-of-N): 0.4701091409177542
WikiPathways.23....Ciliary.landscape (X-of-N): 0.4684348675241126
REACTOME.11....Infectious.disease (X-of-N): 0.4622299583352669
WikiPathways.3....MAPK.Signaling (X-of-N): 0.446176831427495
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.4312666867457639
KEGG.179....Phenylalanine.metabolism (X-of-N): 0.4199197645749475
X_of_N_31 (X-of-N): 0.41506154006175355
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.406273397570597
X_of_N_16 (X-of-N): 0.39186073762999407
Panther_Pathway....CCKR_signaling_map (X-of-N): 0.3882533603581655
X_of_N_34 (X-of-N): 0.38327781698801244
X_of_N_14 (X-of-N): 0.3778702318160443
Panther_Pathway.8....Parkinson_disease (X-of-N): 0.36988718991308867
KEGG.54....Neurotrophin.signaling (X-of-N): 0.3613959307976446
INOH.10....Tryptophan.degradation (X-of-N): 0.31309930374502737
X_of_N_9 (X-of-N): 0.3096198368554892
KEGG.1....Thermogenesis (X-of-N): 0.30091787042632184
KEGG.10....Alzheimer.disease (X-of-N): 0.26951398879367555
REACTOME.40....SRP.dependent.cotranslational.protein.targeting.to.membrane (X-of-N): 0.2657803793132116
REACTOME.289....Xenobiotics (X-of-N): 0.26456892418968336
PharmGKB.6....Doxorubicin_Pathway_Cardiomyocyte_Cell_Pharmacodynamics (X-of-N): 0.2642439927171848
ACSN2.31....DEPENDANCE_RECEPTORS (X-of-N): 0.26249352233960643
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.25707411985782125
stke.3....Integrin.Signaling.Pathway (X-of-N): 0.24519741570403952
====================
Fold 2
X_of_N_7 (X-of-N): 20.462588779780877
X_of_N_18 (X-of-N): 12.990823290354196
X_of_N_8 (X-of-N): 8.099460496594736
X_of_N_35 (X-of-N): 7.3336114927851
X_of_N_12 (X-of-N): 6.864611978877648
X_of_N_20 (X-of-N): 2.2540447711771354
X_of_N_37 (X-of-N): 1.3003821758157639
X_of_N_4 (X-of-N): 1.229766237713279
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 1.1493044213803094
REACTOME....Metabolism (X-of-N): 1.1060827555377406
X_of_N_6 (X-of-N): 1.0143086126643268
X_of_N_29 (X-of-N): 0.9311515652090826
REACTOME.11....Infectious.disease (X-of-N): 0.737095265281189
X_of_N_17 (X-of-N): 0.6968742146881473
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.6586347359732398
REACTOME.235....Ion.homeostasis (X-of-N): 0.5563748745008972
KEGG.10....Alzheimer.disease (X-of-N): 0.5118566510948259
REACTOME.23....Cap.dependent.Translation.Initiation (X-of-N): 0.4880752349949039
X_of_N_2 (X-of-N): 0.46405933143503636
X_of_N_24 (X-of-N): 0.45776903399262797
PharmGKB.6....Doxorubicin_Pathway_Cardiomyocyte_Cell_Pharmacodynamics (X-of-N): 0.44086209394467285
REACTOME.317....Cristae.formation (X-of-N): 0.41567639567172654
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.4092366397696891
X_of_N_1 (X-of-N): 0.40885222294516715
WikiPathways.23....Ciliary.landscape (X-of-N): 0.391355116384533
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.3861700222551909
WikiPathways.6....Cytoplasmic.Ribosomal.Proteins (X-of-N): 0.3858771774269165
REACTOME.12....Metabolism.of.lipids (X-of-N): 0.37987681964826614
X_of_N_38 (X-of-N): 0.37230722227868074
OntoCancro....Expanded.Apoptosis (X-of-N): 0.3611205668563233
ACSN2.22....ER_STRESS (X-of-N): 0.3496367096488449
X_of_N_23 (X-of-N): 0.3414370306457469
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.33522286181019134
KEGG.97....Lysosome (X-of-N): 0.3291079572179275
X_of_N_15 (X-of-N): 0.31031714203616945
X_of_N_14 (X-of-N): 0.2989379667596951
IPAVS.3....GP130_JAK_STAT (X-of-N): 0.28564979888031033
X_of_N_27 (X-of-N): 0.28332473154331783
REACTOME.14....Transcriptional.Regulation.by.TP53 (X-of-N): 0.28010631368307354
X_of_N_34 (X-of-N): 0.273755684686827
X_of_N_19 (X-of-N): 0.2714864610957553
X_of_N_33 (X-of-N): 0.2688495712527742
X_of_N_9 (X-of-N): 0.26725920171780326
X_of_N_31 (X-of-N): 0.26625321003664715
IPAVS.17....perk (X-of-N): 0.2631172085535904
NetPath.3....AndrogenReceptor (X-of-N): 0.25169076431154996
X_of_N_21 (X-of-N): 0.2502895026988089
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.2492904882400216
KEGG.6....MAPK.signaling (X-of-N): 0.23938530458037693
X_of_N_25 (X-of-N): 0.2308880153971165
====================
Fold 3
X_of_N_9 (X-of-N): 14.906673576422476
X_of_N_11 (X-of-N): 9.579325144943557
X_of_N_20 (X-of-N): 4.729466581823001
X_of_N_42 (X-of-N): 4.32927772875294
X_of_N_36 (X-of-N): 4.20764175452843
X_of_N_30 (X-of-N): 2.6313085585764817
X_of_N_6 (X-of-N): 2.3666082344507227
X_of_N_28 (X-of-N): 1.968967712317419
X_of_N_17 (X-of-N): 1.6842988064864683
X_of_N_41 (X-of-N): 1.5586828642246344
REACTOME....Metabolism (X-of-N): 1.5004649907241348
X_of_N_27 (X-of-N): 1.489675926957063
X_of_N_26 (X-of-N): 1.4742491711678871
X_of_N_8 (X-of-N): 1.4128801991618163
X_of_N_32 (X-of-N): 1.326280557886343
X_of_N_46 (X-of-N): 1.2024762922605208
X_of_N_12 (X-of-N): 1.1984390095325284
X_of_N_49 (X-of-N): 1.098486913231423
X_of_N_40 (X-of-N): 1.0496656235251598
X_of_N_31 (X-of-N): 0.9455843892730783
X_of_N_2 (X-of-N): 0.9039632995245716
X_of_N_37 (X-of-N): 0.8956335460442828
X_of_N_44 (X-of-N): 0.890271080315512
X_of_N_15 (X-of-N): 0.8816130704300739
ACSN2.22....ER_STRESS (X-of-N): 0.8807824262930876
X_of_N_4 (X-of-N): 0.7954714096841836
REACTOME.1....Metabolism.of.proteins (X-of-N): 0.7863200806520265
KEGG.47....Protein.processing.in.endoplasmic.reticulum (X-of-N): 0.7342274004819606
X_of_N_7 (X-of-N): 0.6848199876372859
REACTOME.235....Ion.homeostasis (X-of-N): 0.6634399471347799
X_of_N_39 (X-of-N): 0.6074696701275814
X_of_N_25 (X-of-N): 0.5761818258568019
X_of_N_1 (X-of-N): 0.5731355851753294
KEGG.111....Autophagy...other (X-of-N): 0.5131029567787865
X_of_N_38 (X-of-N): 0.5098682548616237
OntoCancro....Expanded.Apoptosis (X-of-N): 0.49976429802971545
X_of_N_24 (X-of-N): 0.49140367261575835
X_of_N_14 (X-of-N): 0.474070635020614
WikiPathways.23....Ciliary.landscape (X-of-N): 0.46318731133335056
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.45932719372627867
X_of_N_47 (X-of-N): 0.4513922775902862
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.44555481171034717
X_of_N_33 (X-of-N): 0.43948435789031964
X_of_N_22 (X-of-N): 0.43450713853957945
X_of_N_21 (X-of-N): 0.4231263783347546
KEGG.10....Alzheimer.disease (X-of-N): 0.4150941070392059
X_of_N_3 (X-of-N): 0.4145096804875984
stke.3....Integrin.Signaling.Pathway (X-of-N): 0.39169440058443783
Panther_Pathway.47....TCA_cycle (X-of-N): 0.3788003675315134
X_of_N_13 (X-of-N): 0.3679168115809756
====================
Fold 4
X_of_N_13 (X-of-N): 21.670625743570447
X_of_N_28 (X-of-N): 3.905208272293736
X_of_N_31 (X-of-N): 3.7226148206551684
X_of_N_19 (X-of-N): 3.168935812835157
X_of_N_6 (X-of-N): 2.6044012997586
X_of_N_25 (X-of-N): 2.5209716047361823
X_of_N_33 (X-of-N): 2.077320859281874
X_of_N_8 (X-of-N): 1.9447603692217652
X_of_N_38 (X-of-N): 1.7143352317886635
X_of_N_18 (X-of-N): 1.7028832270073937
X_of_N_4 (X-of-N): 1.4852657784025811
REACTOME.11....Infectious.disease (X-of-N): 1.37214192239756
X_of_N_1 (X-of-N): 1.3498002146462345
KEGG.15....Proteoglycans.in.cancer (X-of-N): 1.1705223633679607
X_of_N_39 (X-of-N): 1.0494526318372712
X_of_N_32 (X-of-N): 1.0023306475286988
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.961575204234788
X_of_N_14 (X-of-N): 0.9521972822831362
X_of_N_7 (X-of-N): 0.8532855572187611
X_of_N_35 (X-of-N): 0.8132302630825764
WikiPathways.23....Ciliary.landscape (X-of-N): 0.8091385848838921
X_of_N_5 (X-of-N): 0.8047431528915517
X_of_N_24 (X-of-N): 0.7978991740301641
X_of_N_21 (X-of-N): 0.7837810694945092
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.7567018615880874
X_of_N_29 (X-of-N): 0.7276481375245911
X_of_N_9 (X-of-N): 0.6956999565766522
X_of_N_36 (X-of-N): 0.6804384720507254
X_of_N_16 (X-of-N): 0.679598191800116
X_of_N_15 (X-of-N): 0.6708786323278708
X_of_N_10 (X-of-N): 0.6608636634719408
REACTOME.49....Axon.guidance (X-of-N): 0.6215257692392019
REACTOME.125....Citric.acid.cycle..TCA.cycle. (X-of-N): 0.6063585744794313
WikiPathways.80....TCA.Cycle..aka.Krebs.or.citric.acid.cycle. (X-of-N): 0.5488472145541906
X_of_N_30 (X-of-N): 0.5470247321603986
X_of_N_27 (X-of-N): 0.5100315080721107
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.5081392047748791
X_of_N_23 (X-of-N): 0.5047163310634494
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.49401220894204145
X_of_N_2 (X-of-N): 0.4723765648524536
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.44634976772872903
X_of_N_11 (X-of-N): 0.43885232281656006
IPAVS.15....Regulation.of.BetaAR.turnover.via.desensitization.and.sequestration.mechanism (X-of-N): 0.4250360981174692
ACSN2.9....CASPASES (X-of-N): 0.41697976787818564
REACTOME....Metabolism (X-of-N): 0.40753865390598304
X_of_N_12 (X-of-N): 0.39067769572023014
WikiPathways.62....T.Cell.antigen.Receptor..TCR...Signaling (X-of-N): 0.3874878064609154
X_of_N_34 (X-of-N): 0.3772560555033645
X_of_N_3 (X-of-N): 0.36666692971812936
HumanCyc.11....nicotine.degradation.IV (X-of-N): 0.34687368807443864
====================
Fold 5
X_of_N_31 (X-of-N): 12.244606509809309
X_of_N_15 (X-of-N): 11.987153231646033
X_of_N_8 (X-of-N): 8.286066132203137
X_of_N_1 (X-of-N): 7.753765621110505
X_of_N_9 (X-of-N): 6.058269645914999
X_of_N_3 (X-of-N): 3.5420098081479163
